,Title,NSE,Strength,Weakness,Oppurtunity,Threat
95,Chambal Fert,CHAMBLFERT,"['High Piotroski Score - Companies with strong financials', 'Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Company with high TTM EPS Growth', 'Strong Annual EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing Revenue every quarter for the past 2 quarters', 'Increasing profits every quarter for the past 2 quarters', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Strong Momentum: Price above short, medium and long term moving averages']",None,"['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Profit making Companies with High ROCE and Low PE', 'Positive Breakout First Resistance ( LTP > R1)', 'Stock with Low PE (PE < = 10)', 'High Volume, High Gain']",['Increasing Trend in Non-Core Income']
96,Chennai Petro,CHENNPETRO,"['Increasing profits every quarter for the past 2 quarters', 'Company with Zero Promoter Pledge']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Degrowth in Revenue and Profit', 'Companies with High Debt', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Book Value Per Share deteriorating for last 2 years']","['Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",['Companies Increasing Debt as per Annual Report']
97,Cholamandalam,CHOLAFIN,"['Company with high TTM EPS Growth', 'Bullish Harami  (Bullish Reversal)', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Book Value per share Improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Companies with High Debt', 'Declining Net Cash Flow : Companies not able to generate net cash', 'High volume, top losers']","['Profit making Companies with High ROCE and Low PE', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']","['Increasing Trend in Non-Core Income', 'Increase in Provisions in Recent Results']"
98,Cholamandalam,CHOLAHLDNG,"['Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Increasing profits every quarter for the past 2 quarters', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Stock gained more than 20% in one month', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'Promoter decreasing their shareholding', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low']","['Increasing Trend in Non-Core Income', 'Increase in Provisions in Recent Results']"
99,Cipla,CIPLA,"['Rising Net Cash Flow and Cash from Operating activity', 'MACD Crossover Above Signal Line', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']",None,"['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']",None
100,City Union Bank,CUB,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Increasing Revenue every quarter for the past 2 quarters', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Strong Momentum: Price above short, medium and long term moving averages']","['Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Major fall in TTM Net Profit']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Decrease in NPA in recent results', 'RSI indicating price strength']",['Increase in Provisions in Recent Results']
101,Coal India,COALINDIA,"['Company with Low Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['MFs decreased their shareholding last quarter', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Declining Net Cash Flow and Cash from Operating Activity for last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)']"
102,Cochin Shipyard,COCHINSHIP,"['Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'High dividends, with rising dividend yields over last five years']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 3 quarters', 'Declining profits every quarter for the past 3 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Street Favorite: High Analyst Rating with at least 20% upside', 'Stock with Low PE (PE < = 10)']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
103,COFORGE LTD.,COFORGE,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Big Deal (Insider and SAST) sells last month greater than 1% of total shares', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Promoter decreasing their shareholding', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low']",None
104,Colgate,COLPAL,"['High Piotroski Score - Companies with strong financials', 'MACD Crossover Above Signal Line', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with No Debt', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Declining Net Cash Flow : Companies not able to generate net cash']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Negative to Positive growth in Sales and Profit with Strong Price momentum']",['Stocks with high PE (PE > 40)']
105,Container Corp,CONCOR,"['Company with Low Debt', 'Company with Zero Promoter Pledge']","['Companies with growing costs YoY for long term projects', 'Negative Breakdown Third Support (LTP < S3)', 'MFs decreased their shareholding last quarter', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Book Value Per Share deteriorating for last 2 years', 'High volume, top losers']",['RSI indicating price strength'],['Recent Broker Downgrades in Reco or Target Price']
106,Coromandel Int,COROMANDEL,"['High Piotroski Score - Companies with strong financials', 'Rising Net Cash Flow and Cash from Operating activity', 'Strong QoQ EPS Growth in recent results', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Increasing Revenue every quarter for the past 2 quarters', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Promoter decreasing their shareholding', 'Shooting Star (Bearish Reversal)']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)']",None
107,CreditAccess Gr,CREDITACC,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing Revenue every Quarter for the past 4 Quarters', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Promoter decreasing their shareholding', 'Low Piotroski Score : Companies with weak financials', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Positive Breakout Second Resistance  ( LTP > R2)', 'Highest Recovery from 52 Week Low', 'Decrease in Provision in recent results']",['Increasing Trend in Non-Core Income']
108,CRISIL,CRISIL,"['Bullish Harami  (Bullish Reversal)', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Increasing Revenue every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Promoter decreasing their shareholding', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'RSI indicating price strength', 'Insiders bought stocks']","['Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)', 'Insiders sold stocks']"
109,Cummins,CUMMINSIND,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)']",['Brokers upgraded recommendation or target price in the past three months'],None
110,Cyient,CYIENT,"['Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Big Deal (Insider and SAST) sells last month greater than 1% of total shares', 'Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low']",None
111,Dabur India,DABUR,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Increasing Revenue every quarter for the past 2 quarters', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)']",['Stocks with high PE (PE > 40)']
112,Dalmia Bharat,DALBHARAT,"['Promoters increasing shareholding QoQ', 'New 52 Week High', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Major fall in TTM Net Profit']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout First Resistance ( LTP > R1)', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength', 'High Volume, High Gain']","['Red Flag: Resignation of Top Management', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
113,DB Corp,DBCORP,"['Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Company with decreasing Promoter pledge']","['Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Book Value Per Share deteriorating for last 2 years', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Turnaround companies- loss to profit QoQ', 'Insiders bought stocks']",None
114,DCB Bank,DCBBANK,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout Second Resistance  ( LTP > R2)', 'Stock with Low PE (PE < = 10)']","['Recent Broker Downgrades in Reco or Target Price', 'Increasing Trend in Non-Core Income', 'Increase in NPA in Recent Results', 'Increase in Provisions in Recent Results']"
115,DCM Shriram,DCMSHRIRAM,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Stock with Low PE (PE < = 10)']",None
116,Deepak Fert,DEEPAKFERT,"['Company with high TTM EPS Growth', 'Good quarterly growth in the recent results', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Increasing Revenue every quarter for the past 3 quarters', 'Book Value per share Improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)']","['Red Flag: High Interest Payments Compared to Earnings', 'Negative Breakdown First Support (LTP < S1)', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Companies with High Promoter Pledge']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Big Deal (Insider and SAST) buys last month greater than 1% of total shares', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'Insiders bought stocks']",['Increasing Trend in Non-Core Income']
117,Deepak Nitrite,DEEPAKNTR,"['High Piotroski Score - Companies with strong financials', 'Rising Net Cash Flow and Cash from Operating activity', 'Strong Annual EPS Growth', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company reducing Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)']","['Companies with growing costs YoY for long term projects', 'MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low']",None
118,Delta Corp,DELTACORP,"['Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Company with No Debt', 'Book Value per share Improving for last 2 years', 'Strong Momentum: Price above short, medium and long term moving averages']","['Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 3 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Shooting Star (Bearish Reversal)']","['Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Positive Breakout Third Resistance ( LTP > R3)', 'Highest Recovery from 52 Week Low']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
119,Dhanuka Agritec,DHANUKA,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Increasing profits every quarter for the past 3 quarters', 'Increasing Revenue every quarter for the past 2 quarters', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low']",None
120,Dilip Buildcon,DBL,"['Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding']","['Red Flag: High Interest Payments Compared to Earnings', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Companies with Increasing Debt', 'Annual net profit declining for last 2 years', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout Third Resistance ( LTP > R3)', 'Street Favorite: High Analyst Rating with at least 20% upside']",['Increasing Trend in Non-Core Income']
121,Dish TV,DISHTV,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding']","['Big Deal (Insider and SAST) sells last month greater than 1% of total shares', 'Red Flag: High Interest Payments Compared to Earnings', 'Promoter holding decreased by more than -2% QoQ', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Promoter decreasing their shareholding', 'Annual net profit declining for last 2 years', 'Book Value Per Share deteriorating for last 2 years', 'Companies with High Promoter Pledge']","['Turnaround companies- loss to profit QoQ', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'High Volume, High Gain']","['Companies where substantial shares pledged by insiders invoked by lenders', 'Company with negative growth and promoters decreasing shareholding QoQ', 'Increasing Trend in Non-Core Income']"
122,Dishman Carboge,DCAL,"['Rising Net Cash Flow and Cash from Operating activity', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)']"
123,Divis Labs,DIVISLAB,"['Stock passes majority of CANSLIM Investment criteria', 'Company with high TTM EPS Growth', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Increasing profits every quarter for the past 4 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Promoter decreasing their shareholding']","['Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'RSI indicating price strength']",['Stocks with high PE (PE > 40)']
124,Dixon Technolog,DIXON,"['Rising Net Cash Flow and Cash from Operating activity', 'Strong Annual EPS Growth', 'Strong QoQ EPS Growth in recent results', 'New 52 Week High', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Promoter decreasing their shareholding']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout Second Resistance  ( LTP > R2)', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']",['Stocks with high PE (PE > 40)']
125,DLF,DLF,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Increasing profits every quarter for the past 2 quarters', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Annual net profit declining for last 2 years', 'Book Value Per Share deteriorating for last 2 years', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Turnaround companies- loss to profit QoQ', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength']",['Red Flags: Firms linked to ongoing regulatory investigations/legal cases']
126,Dr Lal PathLab,LALPATHLAB,"['Company with No Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Stock gained more than 20% in one month', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 3 quarters', 'Declining profits every quarter for the past 3 quarters', 'Promoter decreasing their shareholding', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'RSI indicating price strength', 'Insiders bought stocks']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Company with negative growth and promoters decreasing shareholding QoQ', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)', 'Insiders sold stocks']"
